6835,6550,6939,3813,10708,11606,9430,8008,1091,3936,2929,2441,10517,9959,11325,8008,2356194,1249045,99668,1661456,-1603043,2744513,-1156289,129702,-2819842,1837048,2356194,-1712693,-1975688,-982793,2485897,129702
7720,7389,5879,3275,12676,12362,9003,7258,1091,3521,3275,4026,9959,10449,11016,9379,2034443,652846,58755,1249045,-2083185,2514849,-1494024,-442374,2819842,1373400,1892546,-2111215,-2553590,-1438244,2132717,-110657
7642,7258,6039,2013,10066,12207,8802,5879,488,4421,3275,3936,10708,7948,9082,8843,1249045,47583,-1030376,540419,-2754716,1712693,-2300695,-868539,-785398,674740,1892546,2875340,3109345,-2170846,1418146,-674740
6905,8315,7324,2441,10517,10540,9765,7042,1091,4501,4171,3452,10786,10841,12294,9667,-927295,-2297438,-2999695,-1712693,1165904,-551654,1712693,2944197,1249045,-1494024,-426627,643501,694738,1730709,-904827,3141592
6118,8541,5371,3126,10753,11440,10195,7873,1760,4809,3521,3813,10483,10786,9430,9392,2855541,1325817,785398,1460139,-1667270,3050932,-1076854,266252,-1768191,1937970,-2944197,-1480136,-1871716,-694738,2727085,298498
6039,8789,5879,2489,10438,11016,9082,6550,2013,4501,3088,4026,9777,9630,9480,10018,-1030376,-2356194,3082836,-2158798,973619,-561921,1723445,2819842,1030376,-1494024,-463647,1030376,835356,1824470,-992894,3107123
7948,8052,6569,2847,10972,8802,10066,7642,1091,5027,5899,3936,9480,11606,10786,10066,600050,-540419,-1623379,244978,2720173,1124690,-2754716,-1892546,-2819842,278299,1212025,2875340,2563690,-2611376,876058,-1467714
7042,7453,5940,3936,9264,11799,8052,8358,2441,3554,2847,2847,8638,9630,10381,9777,-1768191,-2907849,2521343,-2480549,463647,-1212025,1030376,2239085,141897,-2634494,-1815774,244978,39978,1317122,-1637364,2306236
6366,8802,6366,1953,10918,8976,8802,8008,1760,3554,4026,4421,9728,10972,10358,11134,2279422,1124690,218668,785398,-1892546,2746801,-1373400,-129702,-1373400,2077894,2601173,-2466851,-2050315,-1149377,2498091,124354
7580,6569,5097,1760,10449,11739,10300,6800,2183,5459,4200,2441,9692,11230,10918,9886,-2095592,3089009,2064737,2944197,132551,-1570796,690446,1989020,-321750,-2176340,-1405647,-141897,-71307,785398,-1892546,2003204
5027,9379,6991,2489,10708,10381,8910,6641,1091,4907,5281,3554,11048,10195,12732,11759,-278299,-1460139,-2145101,-588002,1933340,66568,2521343,-2654693,321750,-885066,197395,1063697,1570796,2647651,-218668,-2439335
7042,8126,5859,2013,10265,12506,9277,7109,1091,4171,4809,3275,10066,10841,9082,10841,-197395,-1356735,-2356194,-1030376,1913820,110657,2356194,-2634494,2819842,-1144168,367173,1892546,1467714,2491722,-152649,-2491722
5524,7042,5459,1091,9003,10517,9593,7827,1760,4501,5459,2441,10300,10160,11440,9277,1570796,197395,-605544,321750,-2574863,1975688,-2098870,-847816,-1768191,1004067,1892546,-2999695,-2904743,-1741531,1480136,-785398
